    5.761906     4.589917      1     5.146407     4.579840
    5.756643     4.399249      1     5.761906     4.589917
    4.368268     5.709147      1     5.756643     4.399249
    5.148484     5.092733      1     4.368268     5.709147
    4.170552     4.343507      1     5.148484     5.092733
    5.005117     4.893999      1     4.170552     4.343507
    4.181267     5.205768      1     5.005117     4.893999
    3.969493     4.134242      1     4.181267     5.205768
    2.829305     3.665517      1     3.969493     4.134242
    4.684586     4.544582      1     2.829305     3.665517
    4.838558     5.707282      1     4.684586     4.544582
    6.319542     5.145848      1     4.838558     5.707282
    6.950612     4.104081      1     6.319542     5.145848
    5.773970     4.133898      1     6.950612     4.104081
    4.756255     3.930803      1     5.773970     4.133898
    4.502770     3.573780      1     4.756255     3.930803
    4.287535     4.775417      1     4.502770     3.573780
    4.566455     4.095376      1     4.287535     4.775417
    7.030526     4.902052      1     4.566455     4.095376
    5.135833     4.154199      1     7.030526     4.902052
    5.913115     5.270283      1     5.135833     4.154199
    7.098263     4.973493      1     5.913115     5.270283
    5.535425     5.735069      1     7.098263     4.973493
    6.332235     5.150760      1     5.535425     5.735069
    4.706270     4.551656      1     6.332235     5.150760
    5.650285     4.761034      1     4.706270     4.551656
    6.598787     4.925428      1     5.650285     4.761034
    3.133082     4.898124      1     6.598787     4.925428
    4.139284     4.137257      1     3.133082     4.898124
    4.271701     4.391628      1     4.139284     4.137257
    5.494443     4.007659      1     4.271701     4.391628
    5.196330     4.381396      1     5.494443     4.007659
    5.702172     4.103712      1     5.196330     4.381396
    4.889908     3.980197      1     5.702172     4.103712
    4.578311     3.679442      1     4.889908     3.980197
    3.911635     4.469072      1     4.578311     3.679442
    4.156922     4.359961      1     3.911635     4.469072
    5.327488     4.874467      1     4.156922     4.359961
    5.008468     4.331227      1     5.327488     4.874467
    4.943569     4.788316      1     5.008468     4.331227
    5.016839     4.591904      1     4.943569     4.788316
    5.440003     4.305144      1     5.016839     4.591904
    5.575704     4.615521      1     5.440003     4.305144
    4.832124     5.246490      1     5.575704     4.615521
    5.278532     4.758682      1     4.832124     5.246490
    5.942272     5.099879      1     5.278532     4.758682
    5.676004     4.714491      1     5.942272     5.099879
    4.992624     3.865218      1     5.676004     4.714491
    5.705141     4.434837      1     4.992624     3.865218
    5.370404     5.081640      1     5.705141     4.434837
    5.971939     3.617321      1     5.370404     5.081640
    6.355467     4.501936      1     5.971939     3.617321
    5.443947     4.028191      1     6.355467     4.501936
    5.817988     4.819541      1     5.443947     4.028191
    6.660511     5.065908      1     5.817988     4.819541
    7.150284     4.405769      1     6.660511     5.065908
    6.760691     4.726185      1     7.150284     4.405769
    6.393922     5.083683      1     6.760691     4.726185
    6.226975     5.739433      1     6.393922     5.083683
    5.484962     4.525986      1     6.226975     5.739433
    5.638399     3.883245      1     5.484962     4.525986
    5.983364     4.638470      1     5.638399     3.883245
    5.237683     4.513006      1     5.983364     4.638470
    5.081230     4.386083      1     5.237683     4.513006
    4.234342     5.197379      1     5.081230     4.386083
    5.837785     5.421283      1     4.234342     5.197379
    5.711690     4.078953      1     5.837785     5.421283
    5.749412     6.047747      1     5.711690     4.078953
    6.207205     5.609459      1     5.749412     6.047747
    5.660859     4.699003      1     6.207205     5.609459
    4.778617     5.149857      2     5.314370     3.985075
